OnsetTime	OffsetTime	MidiPitch
0.290000	1.242000	68
1.242000	2.101000	70
2.101000	3.006000	71
3.006000	3.841000	68
3.841000	4.250500	76
4.250500	4.660000	76
4.660000	5.069500	76
5.069500	5.479000	76
5.479000	7.151000	70
7.151000	7.557500	75
7.557500	7.964000	75
7.964000	8.370500	75
8.370500	8.777000	75
8.777000	10.01900	68
10.01900	10.43000	76
10.47000	10.64325	75
10.61000	10.78375	76
10.81650	10.98975	75
10.95750	11.13125	76
11.16300	11.33625	75
11.30500	11.47875	76
11.50950	11.68275	75
11.84500	12.02350	73
12.00000	12.18185	75
12.20200	12.38050	73
12.36371	12.54557	75
12.55900	12.73750	73
12.72742	12.90928	75
12.91600	13.09450	73
13.09114	13.27300	75
